central_id,local_id
284,COV21-409791
284,
284,
284,
285,COV21-406190
285,
285,
285,
286,COV21-407336
286,
286,
286,
287,COV21-387398
287,
287,
287,
288,COV21-416764
288,
288,
288,
289,COV21-411853
289,
289,
289,
290,COV21-416164
290,
290,
290,
291,COV21-416753
291,
291,
291,
292,COV21-416755
292,
292,
292,
293,COV21-416723
293,
293,
293,
294,COV21-416731
294,
294,
294,
295,COV21-416734
295,
295,
295,
296,COV21-416701
296,
296,
296,
297,COV21-417599
297,
297,
297,
298,COV21-417618
298,
298,
298,
299,COV21-417670
299,
299,
299,
300,COV21-417509
300,
300,
300,
301,COV21-421733
301,
301,
301,
302,COV21-421755
302,
302,
302,
303,COV21-422566
303,
303,
303,
304,COV21-422511
304,
304,
304,
305,COV21-422699
305,
305,
305,
306,COV21-422900
306,
306,
306,
307,COV21-424219R
307,
307,
307,
308,COV21-423987
308,
308,
308,
309,COV21-423859
309,
309,
309,
310,COV21-423860
310,
310,
310,
311,COV21-424262
311,
311,
311,
312,COV21-424264
312,
312,
312,
313,COV21-424284
313,
313,
313,
314,COV21-424285
314,
314,
314,
315,COV21-424500
315,
315,
315,
316,COV21-424937
316,
316,
316,
317,COV21-425011
317,
317,
317,
318,COV21-425012
318,
318,
318,
319,COV21-425018
319,
319,
319,
320,COV21-425022
320,
320,
320,
321,COV21-425316
321,
321,
321,
322,COV21-426050
322,
322,
322,
323,COV21-426058
323,
323,
323,
324,COV21-426077
324,
324,
324,
325,COV21-426078
325,
325,
325,
326,COV21-425774
326,
326,
326,
327,COV21-425798
327,
327,
327,
328,COV21-426663
328,
328,
328,
329,COV21-426655
329,
329,
329,
330,COV21-427084
330,
330,
330,
331,COV21-427822
331,
331,
331,
332,COV21-430165
332,
332,
332,
333,COV21-431169
333,
333,
333,
334,COV21-427837
334,
334,
334,
335,COV21-430166
335,
335,
335,
336,COV21-431189
336,
336,
336,
337,COV21-428422
337,
337,
337,
338,COV21-430322
338,
338,
338,
339,COV21-432141
339,
339,
339,
340,COV21-430051
340,
340,
340,
341,COV21-430339
341,
341,
341,
342,COV21-427816
342,
342,
342,
343,COV21-430342
343,
343,
343,
344,COV21-431817
344,
344,
344,
345,COV21-431893
345,
345,
345,
346,COV21-427818
346,
346,
346,
347,COV21-430215
347,
347,
347,
348,COV21-431205
348,
348,
348,
349,COV21-431819
349,
349,
349,
350,COV21-431908
350,
350,
350,
351,191721RH
351,
351,
351,
352,192756RO
352,
352,
353,199878RO
353,
353,
354,192755RO
354,
354,
355,199880
355,
355,
355,
356,192754RO
356,
356,
356,
357,192757RO
357,
357,
358,289858TS
358,
358,
359,195338RO
359,
359,
359,
360,286292SD
360,
360,
360,
361,199877RO
361,
361,
361,
362,291481R
362,
362,
362,
363,200825RO
363,
363,
364,289859TS
364,
364,
365,234746R
365,
365,
365,
366,188058RI
366,
366,
367,289856TS
367,
367,
368,199879RO
368,
368,
369,289855TS
369,
369,
370,237391R
370,
370,
371,284473RH
371,
371,
372,289853TS
372,
372,
373,246959TS
373,
373,
373,
374,211103_M04597_0034_000000000-JJCVJ_12175_S24_L001
374,
374,
375,211103_M04597_0034_000000000-JJCVJ_122985_S6_L001
375,
375,
376,211103_M04597_0034_000000000-JJCVJ_133549_S41_L001
376,
376,
377,211103_M04597_0034_000000000-JJCVJ_133559_S33_L001
377,
377,
378,211103_M04597_0034_000000000-JJCVJ_136212_S35_L001
378,
378,
379,211103_M04597_0034_000000000-JJCVJ_141461_S39_L001
379,
379,
380,211103_M04597_0034_000000000-JJCVJ_14414_S29_L001
380,
380,
381,211103_M04597_0034_000000000-JJCVJ_14482_S28_L001
381,
381,
382,211103_M04597_0034_000000000-JJCVJ_149759_S40_L001
382,
382,
383,211103_M04597_0034_000000000-JJCVJ_151015_S42_L001
383,
383,
384,211103_M04597_0034_000000000-JJCVJ_151667_S34_L001
384,
384,
385,211103_M04597_0034_000000000-JJCVJ_152946_S38_L001
385,
385,
386,211103_M04597_0034_000000000-JJCVJ_155442_S37_L001
386,
386,
387,211103_M04597_0034_000000000-JJCVJ_157527_S7_L001
387,
387,
388,211103_M04597_0034_000000000-JJCVJ_164419_S32_L001
388,
388,
389,211103_M04597_0034_000000000-JJCVJ_164514_S36_L001
389,
389,
390,211103_M04597_0034_000000000-JJCVJ_183022_S11_L001
390,
390,
391,211103_M04597_0034_000000000-JJCVJ_183029_S8_L001
391,
391,
392,211103_M04597_0034_000000000-JJCVJ_183560_S14_L001
392,
392,
393,211103_M04597_0034_000000000-JJCVJ_193021_S46_L001
393,
393,
394,211103_M04597_0034_000000000-JJCVJ_193095_S43_L001
394,
394,
395,211103_M04597_0034_000000000-JJCVJ_194020_S15_L001
395,
395,
396,211103_M04597_0034_000000000-JJCVJ_194032_S16_L001
396,
396,
397,211103_M04597_0034_000000000-JJCVJ_194071_S45_L001
397,
397,
398,211103_M04597_0034_000000000-JJCVJ_201024_S44_L001
398,
398,
399,211103_M04597_0034_000000000-JJCVJ_201149_S47_L001
399,
399,
400,211103_M04597_0034_000000000-JJCVJ_201347_S9_L001
400,
400,
401,211103_M04597_0034_000000000-JJCVJ_20833_S4_L001
401,
401,
402,211103_M04597_0034_000000000-JJCVJ_216204_S17_L001
402,
402,
403,211103_M04597_0034_000000000-JJCVJ_216866_S12_L001
403,
403,
404,211103_M04597_0034_000000000-JJCVJ_220174_S10_L001
404,
404,
405,211103_M04597_0034_000000000-JJCVJ_222320_S18_L001
405,
405,
406,211103_M04597_0034_000000000-JJCVJ_223980_S13_L001
406,
406,
407,211103_M04597_0034_000000000-JJCVJ_22954_S26_L001
407,
407,
